zipcode,Sum of price,Sum of sqft_living,lat,long,,avg,
98001,101651298,688110,47.30901989,-122.2706464,147.7253608,147.8,
98002,46622523,323921,47.3087799,-122.2133568,143.9317704,144,
98003,82351158,540087,47.31574107,-122.3100536,152.4775786,152.5,
98004,430018105,922160,47.61618328,-122.2051893,466.3161545,466.4,
98005,136128669,446343,47.61153155,-122.1672679,304.9866784,305,
98006,428249400,1438371,47.55802169,-122.1468394,297.7322262,297.8,
98007,87032817,307670,47.61052199,-122.142078,282.8771638,282.9,
98008,182712788,603765,47.61331166,-122.1158339,302.622358,302.7,
98010,42366599,213759,47.33321,-121.99947,198.1979659,198.2,
98011,95623536,439354,47.75519231,-122.2011744,217.6457617,217.7,
98014,56496522,262628,47.6714879,-121.8485323,215.1199491,215.2,
98019,80714862,412596,47.73709579,-121.9548316,195.626865,195.7,
98022,73875977,428764,47.21145043,-121.9951667,172.2998596,172.3,
98023,143084663,992875,47.30862244,-122.3642826,144.1114571,144.2,
98024,47031670,189335,47.55841852,-121.9052593,248.4045211,248.5,
98027,254226234,1036019,47.52168714,-122.0428471,245.3876174,245.4,
98028,130884350,600731,47.75513781,-122.2460283,217.8751388,217.9,
98029,196658319,733230,47.55955701,-122.0056573,268.208228,268.3,
98030,75824123,502400,47.36902656,-122.190418,150.9238117,151,
98031,82347930,529266,47.40378577,-122.1892263,155.5889288,155.6,
98032,31412030,217256,47.373556,-122.278848,144.5853279,144.6,
98033,347324034,1028739,47.68008819,-122.1876597,337.6211401,337.7,
98034,284348308,1078368,47.72068789,-122.2073743,263.6839261,263.7,
98038,216456884,1267152,47.37060407,-122.0317898,170.8215621,170.9,
98039,108065000,190045,47.62584,-122.23354,568.6284827,568.7,
98040,336954366,876127,47.5598461,-122.2255922,384.5953452,384.6,
98042,170774394,1086278,47.36566533,-122.1154526,157.2105796,157.3,
98045,97131109,456105,47.47335928,-121.7590362,212.9577817,213,
98052,370370186,1356738,47.6805378,-122.119277,272.9857835,273,
98053,274701659,1061456,47.67990074,-122.0228173,258.7970288,258.8,
98055,81542245,478292,47.45866604,-122.2027612,170.4863243,170.5,
98056,170883563,818941,47.50965714,-122.1827783,208.664071,208.7,
98058,160896679,932582,47.44608484,-122.1461429,172.5281841,172.6,
98059,231016645,1124910,47.49273611,-122.139047,205.3645581,205.4,
98065,163680973,797110,47.53173,-121.861929,205.3430179,205.4,
98070,57522696,221872,47.41742288,-122.463822,259.2607269,259.3,
98072,155630071,647467,47.75101648,-122.1319744,240.3675724,240.4,
98074,302383047,1166829,47.62408435,-122.0447846,259.1494101,259.2,
98075,283873759,1082877,47.58749081,-122.0225237,262.1477407,262.2,
98077,135211426,565695,47.74592172,-122.061202,239.0182448,239.1,
98092,117557293,770677,47.30183647,-122.1679972,152.5376948,152.6,
98102,94659198,226773,47.63460667,-122.3222476,417.4182905,417.5,
98103,352199365,993800,47.67602392,-122.3441296,354.3966241,354.4,
98105,197679428,492482,47.66506681,-122.2943406,401.3942195,401.4,
98106,107059767,498441,47.53619642,-122.356809,214.7892469,214.8,
98107,154043209,420160,47.66978985,-122.3755714,366.6298767,366.7,
98108,66156204,317060,47.54976935,-122.306871,208.6551568,208.7,
98109,95928475,223971,47.63560183,-122.3500917,428.3075711,428.4,
98112,294888293,672162,47.62961859,-122.2978662,438.7161027,438.8,
98115,361427439,1069977,47.68548422,-122.301789,337.7899142,337.8,
98116,204169386,611612,47.57390545,-122.3936212,333.8217465,333.9,
98117,318989649,935698,47.68688915,-122.3785895,340.9109018,341,
98118,212163816,856867,47.54380413,-122.2755669,247.6041393,247.7,
98119,156347525,369033,47.64003424,-122.3669185,423.6681408,423.7,
98122,184021862,517664,47.61016034,-122.2997724,355.4851448,355.5,
98125,192488866,715658,47.71704268,-122.3012073,268.9676717,269,
98126,150356050,546433,47.54458418,-122.375274,275.1591686,275.2,
98133,191176714,797548,47.73561194,-122.3438219,239.7055901,239.8,
98136,145115121,454156,47.53880684,-122.3882053,319.527037,319.6,
98144,203984344,655854,47.58629329,-122.2984111,311.020965,311.1,
98146,103534923,466978,47.50205521,-122.3583056,221.7126353,221.8,
98148,16239790,91800,47.43743684,-122.3293158,176.9040305,177,
98155,188986660,796830,47.75486323,-122.3035404,237.1731235,237.2,
98166,117937887,525248,47.45521181,-122.3503031,224.537527,224.6,
98168,64648332,395060,47.4897,-122.3078773,163.6418063,163.7,
98177,172486945,592450,47.74238078,-122.3692824,291.1417757,291.2,
98178,81380542,453090,47.49911756,-122.2469695,179.612311,179.7,
98188,39314655,245177,47.44730956,-122.2809926,160.3521334,160.4,
98198,84811087,488701,47.39078786,-122.3157429,173.5439195,173.6,
98199,251123556,685290,47.64809811,-122.3984606,366.4485926,366.5,
